index,value,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,46,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
2,46,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
3,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
4,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
5,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
6,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
7,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
8,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
9,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
10,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
11,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
12,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
13,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
14,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
15,50,Machine 3,0,4,0,3,0,55,-0.0028392372994358,3
16,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
17,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
18,54,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
19,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
20,55,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
21,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
22,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
23,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
24,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
25,56,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
26,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
27,55,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
28,56,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
29,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
30,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
31,54,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
32,56,Machine 3,0,0,0,3,1,55,-0.0028392372994358,3
33,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
34,46,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
35,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
36,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
37,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
38,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
39,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
40,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
41,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
42,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
43,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
44,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
45,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
46,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
47,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
48,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
49,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
50,46,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
51,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
52,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
53,55,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
54,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
55,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
56,45,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
57,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
58,45,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
59,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
60,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
61,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
62,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
63,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
64,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
65,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
66,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
67,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
68,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
69,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
70,44,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
71,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
72,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
73,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
74,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
75,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
76,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
77,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
78,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
79,54,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
80,44,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
81,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
82,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
83,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
84,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
85,45,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
86,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
87,44,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
88,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
89,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
90,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
91,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
92,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
93,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
94,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
95,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
96,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
97,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
98,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
99,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
100,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
101,54,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
102,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
103,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
104,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
105,54,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
106,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
107,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
108,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
109,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
110,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
111,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
112,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
113,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
114,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
115,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
116,45,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
117,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
118,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
119,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
120,45,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
121,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
122,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
123,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
124,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
125,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
126,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
127,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
128,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
129,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
130,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
131,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
132,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
133,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
134,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
135,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
136,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
137,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
138,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
139,50,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
140,46,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
141,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
142,49,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
143,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
144,47,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
145,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
146,51,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
147,53,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
148,52,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
149,48,Machine 3,0,0,0,3,0,55,-0.0028392372994358,3
150,55,Machine 3,1,0,0,3,0,55,-0.0028392372994358,3
