index,rand,facet,last,top5,bot5,thresholdGroup,peak,currentValue,slope,thresholdGroupCurrent
1,46,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
2,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
3,55,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
4,44,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
5,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
6,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
7,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
8,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
9,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
10,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
11,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
12,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
13,53,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
14,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
15,47,Machine 8,0,0,4,3,0,48,0.005006444730876696,3
16,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
17,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
18,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
19,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
20,45,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
21,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
22,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
23,46,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
24,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
25,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
26,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
27,53,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
28,44,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
29,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
30,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
31,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
32,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
33,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
34,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
35,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
36,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
37,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
38,45,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
39,45,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
40,53,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
41,55,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
42,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
43,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
44,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
45,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
46,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
47,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
48,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
49,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
50,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
51,44,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
52,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
53,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
54,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
55,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
56,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
57,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
58,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
59,53,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
60,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
61,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
62,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
63,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
64,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
65,45,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
66,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
67,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
68,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
69,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
70,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
71,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
72,46,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
73,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
74,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
75,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
76,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
77,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
78,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
79,46,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
80,56,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
81,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
82,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
83,46,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
84,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
85,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
86,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
87,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
88,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
89,57,Machine 8,0,0,0,3,1,48,0.005006444730876696,3
90,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
91,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
92,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
93,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
94,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
95,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
96,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
97,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
98,53,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
99,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
100,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
101,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
102,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
103,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
104,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
105,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
106,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
107,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
108,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
109,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
110,44,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
111,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
112,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
113,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
114,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
115,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
116,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
117,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
118,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
119,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
120,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
121,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
122,53,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
123,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
124,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
125,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
126,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
127,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
128,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
129,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
130,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
131,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
132,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
133,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
134,55,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
135,52,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
136,44,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
137,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
138,48,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
139,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
140,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
141,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
142,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
143,50,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
144,53,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
145,54,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
146,49,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
147,51,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
148,56,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
149,47,Machine 8,0,0,0,3,0,48,0.005006444730876696,3
150,48,Machine 8,1,0,0,3,0,48,0.005006444730876696,3
