"","index","value"
"1",1,50
"2",2,52
"3",3,53
"4",4,48
"5",5,46
"6",6,51
"7",7,54
"8",8,51
"9",9,51
"10",10,52
"11",11,48
"12",12,51
"13",13,45
"14",14,48
"15",15,48
"16",16,50
"17",17,57
"18",18,55
"19",19,50
"20",20,50
"21",21,51
"22",22,52
"23",23,52
"24",24,48
"25",25,50
"26",26,50
"27",27,52
"28",28,50
"29",29,51
"30",30,48
"31",31,13
"32",32,15
"33",33,13
"34",34,14
"35",35,7
"36",36,10
"37",37,17
"38",38,13
"39",39,14
"40",40,12
"41",41,49
"42",42,52
"43",43,50
"44",44,52
"45",45,49
"46",46,47
"47",47,51
"48",48,49
"49",49,48
"50",50,48
"51",51,51
"52",52,48
"53",53,47
"54",54,49
"55",55,53
"56",56,52
"57",57,53
"58",58,51
"59",59,47
"60",60,52
"61",61,48
"62",62,50
"63",63,54
"64",64,48
"65",65,50
"66",66,48
"67",67,49
"68",68,48
"69",69,53
"70",70,49
"71",71,51
"72",72,48
"73",73,50
"74",74,50
"75",75,51
"76",76,52
"77",77,49
"78",78,52
"79",79,52
"80",80,50
"81",81,54
"82",82,47
"83",83,46
"84",84,48
"85",85,51
"86",86,51
"87",87,49
"88",88,49
"89",89,53
"90",90,51
"91",91,52
"92",92,53
"93",93,51
"94",94,52
"95",95,50
"96",96,56
"97",97,52
"98",98,54
"99",99,48
"100",100,51
