index,value
1,32
2,55
3,38
4,24
5,46
6,40
7,50
8,34
9,70
10,39
11,31
12,37
13,43
14,45
15,40
16,46
17,31
18,37
19,32
20,39
21,40
22,45
23,33
24,46
25,34
26,42
27,46
28,36
29,42
30,44
31,38
32,39
33,46
34,41
35,39
36,44
37,49
38,43
39,45
40,33
41,47
42,50
43,42
44,49
45,47
46,73
47,46
48,41
49,46
50,42
51,49
52,37
53,42
54,76
55,49
56,52
57,43
58,73
59,38
60,44
61,48
62,46
63,45
64,57
65,45
66,43
67,44
68,43
69,44
70,41
71,42
72,50
73,77
74,69
75,46
76,33
77,75
78,34
79,41
80,37
81,41
82,37
83,40
84,31
85,36
86,42
87,48
88,37
89,31
90,27
91,35
92,31
93,40
94,36
95,38
96,44
97,39
98,37
99,36
100,31
101,38
102,40
103,36
104,36
105,30
106,41
107,31
108,36
109,37
110,34
111,34
112,32
113,38
114,28
115,17
116,28
117,15
118,20
119,35
120,32
121,25
122,25
123,26
124,26
125,24
126,29
127,29
128,29
129,29
130,32
131,15
132,23
133,19
134,20
135,34
136,31
137,23
138,29
139,25
140,20
141,23
142,19
143,23
144,20
145,27
146,28
147,19
148,23
149,20
150,20
151,27
152,14
153,56
154,19
155,54
156,21
157,20
158,31
159,20
160,27
161,29
162,34
163,19
164,21
165,53
166,33
167,25
168,24
169,31
170,25
171,27
172,20
173,31
174,27
175,27
176,27
177,29
178,35
179,25
180,23
181,28
182,34
183,36
184,24
185,23
186,25
187,25
188,34
189,40
190,31
191,36
192,38
193,36
194,42
195,28
196,35
197,32
198,33
199,69
200,29
